2019-09-24 16:52:41,020 - INFO - Checking if clamp-backend  is ready
2019-09-24 16:52:41,962 - INFO - clamp-backend is not ready.
2019-09-24 16:52:41,963 - INFO - clamp-backend is not ready.
2019/09/24 18:39:43.262936 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:40:13.263037 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:40:43.263124 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:41:13.263033 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:41:43.262891 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:42:13.263029 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:42:43.262958 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:43:13.263024 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:43:43.263598 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:44:13.263138 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:44:43.262885 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:45:13.262908 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:45:43.262900 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:46:13.262941 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:46:43.263030 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:47:13.262938 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:47:43.263065 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:48:13.263025 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:48:43.262964 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:49:13.262904 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:49:43.263020 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:50:13.262985 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:50:43.263073 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:51:13.262963 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:51:43.262960 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:52:13.262908 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:52:43.262949 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:53:13.262973 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:53:43.263041 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:54:13.263013 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:54:43.262967 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:55:13.263055 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:55:43.263086 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:56:13.263025 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:56:43.263060 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:57:13.263048 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:57:43.262979 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:58:13.262919 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:58:43.262913 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:59:13.262904 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:59:43.263013 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:00:13.262937 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:00:43.263012 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:01:13.262993 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:01:43.262939 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:02:13.262998 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:02:43.263094 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:03:13.263123 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:03:43.262936 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:04:13.262912 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:04:43.262921 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:05:13.262960 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:05:43.262912 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:06:13.262984 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:06:43.263084 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:07:13.262896 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:07:43.262911 metrics.go:34: INFO No non-zero metrics in the last 30s
